source_lat,source_lon,target_lat,target_lon,incident_id,suspect_name,suspect_type,distance_upstream_m,suspicion_score,permit_status,evidence,last_inspection,historical_violations
28.6015255,77.2608054,28.6050,77.2680,INC-2024-06-15-001,Apex Dyeing Works Pvt Ltd,Textile Industry,450,0.92,EXPIRED,High Conductivity (2850 µS/cm) matches Dyeing effluent profile. pH 3.5 consistent with acid dye discharge.,2022-11-20,3
28.6015255,77.2608054,28.6035,77.2650,INC-2024-06-15-001,Sector 4 Municipal Drain,Municipal Drain,120,0.45,NA,Proximity only. Chemical signature does not match typical stormwater runoff pattern.,2024-01-15,0
28.6015255,77.2608054,28.6100,77.2720,INC-2024-06-15-001,Krishna Chemicals Pvt Ltd,Chemical Manufacturing,680,0.78,ACTIVE,Produces industrial dyes. pH signature partially matches but conductivity lower than expected.,2023-08-10,1
28.5444696,77.3149162,28.5500,77.3220,INC-2024-06-15-002,Metro Leather Works,Leather Tanning,520,0.88,EXPIRED,Chromium levels elevated. Conductivity pattern matches tanning effluent discharge profile.,2021-05-22,5
28.5444696,77.3149162,28.5470,77.3180,INC-2024-06-15-002,Okhla STP Outfall,Sewage Treatment Plant,180,0.52,ACTIVE,Secondary treatment capacity exceeded. BOD levels higher than permitted discharge limits.,2024-03-01,2
28.485214,77.3595106,28.4920,77.3650,INC-2024-06-15-003,Faridabad Industrial Unit 12,Metal Electroplating,380,0.95,EXPIRED,Heavy metals detected. pH 2.8 indicates acid discharge. Matches electroplating waste signature.,2020-09-15,8
28.485214,77.3595106,28.4880,77.3620,INC-2024-06-15-003,Haryana Distillery,Distillery,250,0.72,ACTIVE,High organic load detected. BOD elevated but chemical signature differs from primary pollutant.,2023-12-05,2
28.6521342,77.2626936,28.6580,77.2700,INC-2024-01-15-004,Sadar Bazaar Textile Market,Textile Retail Cluster,420,0.75,NA,Multiple small dyeing units operating without CTE. Collective discharge impact significant.,2023-06-20,0
28.5861798,77.2813296,28.5920,77.2880,INC-2024-07-15-007,Badarpur Power Station,Power Generation,680,0.78,ACTIVE,Thermal discharge confirmed. Water temperature 8°C above ambient. Cooling tower efficiency reduced.,2024-02-10,2
28.6591811,77.2582841,28.6640,77.2650,INC-2024-02-15-008,Shahdara Rubber Factory,Rubber Manufacturing,380,0.82,EXPIRED,Sulfur compounds detected. Matches rubber vulcanization process effluent signature.,2022-04-12,4
