timestamp,lat,lon,h3_index,severity_score,pollution_category,confidence,ph,conductivity,do_level,turbidity,bod,cod,temperature
2024-01-15T00:00:00Z,28.6689529,77.2358125,892a100d2cbffff,0.12,NORMAL,0.95,7.2,450,6.8,12,3.2,18,22.5
2024-01-15T06:00:00Z,28.6680633,77.2363436,892a100d2cbffff,0.15,NORMAL,0.93,7.1,480,6.5,15,3.8,22,23.1
2024-01-15T12:00:00Z,28.6663339,77.237766,892a100d2cbffff,0.18,NORMAL,0.91,7.0,510,6.2,18,4.2,25,24.8
2024-02-01T00:00:00Z,28.6591811,77.2582841,892a100d2d3ffff,0.25,AGRICULTURAL_RUNOFF,0.86,6.7,620,5.5,28,5.8,38,21.5
2024-02-01T12:00:00Z,28.6575289,77.2598183,892a100d2d3ffff,0.42,SEWAGE_ORGANIC,0.85,6.3,820,4.2,55,12.2,72,23.5
2024-03-15T00:00:00Z,28.6521342,77.2626936,892a100d2dbffff,0.55,INDUSTRIAL_CHEMICAL,0.78,5.8,1200,3.5,85,18.5,120,25.2
2024-03-15T12:00:00Z,28.6493191,77.2634983,892a100d2dbffff,0.82,INDUSTRIAL_CHEMICAL,0.88,4.5,2150,2.2,145,35.5,220,26.5
2024-04-01T12:00:00Z,28.6286645,77.2545719,892a100d2e3ffff,0.58,INDUSTRIAL_CHEMICAL,0.79,5.5,1350,3.2,95,22.5,145,29.2
2024-05-15T12:00:00Z,28.6205278,77.2544378,892a100d2ebffff,0.42,SEWAGE_ORGANIC,0.82,6.2,850,4.2,52,11.5,72,32.5
2024-06-01T12:00:00Z,28.6015255,77.2608054,892a100d2f3ffff,0.89,INDUSTRIAL_CHEMICAL,0.92,3.5,2850,1.5,185,48.5,295,34.2
2024-06-15T12:00:00Z,28.5966533,77.2664821,892a100d2f3ffff,0.92,INDUSTRIAL_CHEMICAL,0.95,3.2,3100,1.0,210,55.0,320,35.0
2024-07-15T12:00:00Z,28.5861798,77.2813296,892a100d2fbffff,0.85,THERMAL_DISCHARGE,0.88,6.5,580,3.8,52,9.8,65,42.5
2024-08-01T12:00:00Z,28.5660076,77.2984314,892a100d303ffff,0.48,SEWAGE_ORGANIC,0.84,6.1,980,3.6,72,16.8,98,33.8
2024-09-15T12:00:00Z,28.5444696,77.3149162,892a100d30bffff,0.72,INDUSTRIAL_CHEMICAL,0.85,4.8,1850,2.2,135,35.2,215,31.5
2024-10-01T12:00:00Z,28.5315889,77.3309392,892a100d313ffff,0.48,SEWAGE_ORGANIC,0.84,6.0,950,4.0,62,14.5,85,30.2
2024-11-15T12:00:00Z,28.485214,77.3595106,892a100d31bffff,0.92,INDUSTRIAL_CHEMICAL,0.95,3.2,3200,1.2,195,55.8,345,25.5
2024-12-01T12:00:00Z,28.4721054,77.4179307,892a100d2cbffff,0.28,SEWAGE_ORGANIC,0.84,6.5,680,5.2,32,7.5,45,19.5
