STN code,Monitoring Location,Type Water Body,State Name,Date,latitude,longitude,Temperature (C),Dissolved Oxygen (mg/L),pH,Conductivity (µmho/cm),BOD (mg/L),NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml)
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-01-01,23.411517,85.402979,20.15,4.11,6.57,,2.54,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-01-31,23.411517,85.402979,20.74,4.38,6.49,,2.59,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-03-02,23.411517,85.402979,20.97,4.13,6.71,,2.57,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-04-01,23.411517,85.402979,21.61,4.36,6.84,,2.43,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-05-01,23.411517,85.402979,21.14,4.28,6.92,,2.63,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-05-31,23.411517,85.402979,21.4,4.42,6.71,,2.51,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-06-30,23.411517,85.402979,21.51,4.28,6.91,,2.55,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-07-30,23.411517,85.402979,22.37,4.42,6.85,,2.49,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-08-29,23.411517,85.402979,21.48,4.34,7.29,,2.61,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-09-28,23.411517,85.402979,21.94,4.37,7.24,,2.55,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-10-28,23.411517,85.402979,21.45,4.53,6.97,,2.64,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-11-27,23.411517,85.402979,21.45,4.78,7.44,,2.73,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2023-12-27,23.411517,85.402979,22.21,4.85,7.11,,2.59,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-01-26,23.411517,85.402979,22.07,4.92,7.34,,2.63,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-02-25,23.411517,85.402979,23.08,4.73,7.3,,2.67,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-03-26,23.411517,85.402979,23.0,4.71,7.65,,2.79,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-04-25,23.411517,85.402979,22.63,4.8,7.34,,2.75,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-05-25,23.411517,85.402979,23.5,4.94,7.29,,2.74,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-06-24,23.411517,85.402979,22.96,4.87,7.34,,2.92,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-07-24,23.411517,85.402979,23.84,4.96,7.71,,2.83,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-08-23,23.411517,85.402979,23.01,4.82,7.66,,2.87,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-09-22,23.411517,85.402979,24.44,4.85,7.91,,2.76,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-10-22,23.411517,85.402979,24.55,5.04,7.75,,2.92,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",RIVER,JHARKHAND,2024-11-21,23.411517,85.402979,24.03,5.21,7.84,,2.87,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-01-01,23.455233,85.310539,19.57,6.86,7.46,,2.62,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-01-31,23.455233,85.310539,19.28,6.88,7.93,,2.53,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-03-02,23.455233,85.310539,19.05,6.42,7.9,,2.51,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-04-01,23.455233,85.310539,18.54,6.71,7.94,,2.55,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-05-01,23.455233,85.310539,19.08,6.7,7.61,,2.72,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-05-31,23.455233,85.310539,19.52,6.63,8.05,,2.67,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-06-30,23.455233,85.310539,19.58,6.94,8.21,,2.6,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-07-30,23.455233,85.310539,19.16,7.18,8.36,,2.76,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-08-29,23.455233,85.310539,20.47,6.77,8.1,,2.67,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-09-28,23.455233,85.310539,20.73,7.0,8.33,,2.62,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-10-28,23.455233,85.310539,20.13,7.34,8.38,,2.66,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-11-27,23.455233,85.310539,19.92,7.44,7.96,,2.8,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2023-12-27,23.455233,85.310539,20.5,7.5,8.26,,2.81,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-01-26,23.455233,85.310539,20.47,7.31,8.53,,2.82,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-02-25,23.455233,85.310539,21.95,7.35,8.72,,2.92,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-03-26,23.455233,85.310539,20.95,7.54,8.53,,2.87,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-04-25,23.455233,85.310539,22.14,7.54,8.27,,2.87,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-05-25,23.455233,85.310539,20.84,7.38,8.84,,2.95,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-06-24,23.455233,85.310539,22.05,7.83,8.32,,3.04,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-07-24,23.455233,85.310539,21.06,7.38,8.93,,2.97,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-08-23,23.455233,85.310539,21.77,7.84,8.69,,3.09,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-09-22,23.455233,85.310539,21.49,7.85,9.06,,2.92,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-10-22,23.455233,85.310539,22.72,7.56,9.19,,2.99,,,
2396,RIVER JUMAR AT KANKE DAM,RIVER,JHARKHAND,2024-11-21,23.455233,85.310539,23.39,7.88,8.65,,2.94,,,
